id,ticker,candle_date,open,high,low,close,updated_at
4114,COCHINSHIP.NS,2026-02-09,1490.2000,1544.9000,1488.6000,1524.4000,2026-06-17 08:48:44.717+00
4113,COCHINSHIP.NS,2026-02-06,1481.8000,1496.0000,1472.1000,1490.1000,2026-06-17 08:48:44.717+00
4112,COCHINSHIP.NS,2026-02-05,1502.2000,1503.5000,1476.7000,1482.9000,2026-06-17 08:48:44.717+00
4111,COCHINSHIP.NS,2026-02-04,1508.5000,1517.0000,1495.6000,1502.2000,2026-06-17 08:48:44.717+00
4110,COCHINSHIP.NS,2026-02-03,1578.0000,1578.0000,1487.2000,1508.5000,2026-06-17 08:48:44.717+00
4109,COCHINSHIP.NS,2026-02-02,1559.9000,1597.8000,1483.3000,1512.0000,2026-06-17 08:48:44.717+00
4108,COCHINSHIP.NS,2026-01-30,1608.0000,1666.0000,1575.0000,1659.9000,2026-06-17 08:48:44.717+00
4107,COCHINSHIP.NS,2026-01-29,1629.0000,1655.0000,1602.0000,1610.2000,2026-06-17 08:48:44.717+00
4106,COCHINSHIP.NS,2026-01-28,1526.1000,1632.0000,1526.0000,1622.9000,2026-06-17 08:48:44.717+00
4105,COCHINSHIP.NS,2026-01-27,1490.0000,1544.8000,1457.8000,1523.1000,2026-06-17 08:48:44.717+00
4104,COCHINSHIP.NS,2026-01-23,1499.0000,1504.0000,1474.0000,1488.4000,2026-06-17 08:48:44.717+00
4103,COCHINSHIP.NS,2026-01-22,1476.1000,1505.0000,1463.0000,1498.2000,2026-06-17 08:48:44.717+00
4102,COCHINSHIP.NS,2026-01-21,1437.0000,1480.0000,1409.0000,1467.3000,2026-06-17 08:48:44.717+00
4101,COCHINSHIP.NS,2026-01-20,1504.0000,1510.9000,1425.0000,1436.9000,2026-06-16 13:50:37.698+00
4100,COCHINSHIP.NS,2026-01-19,1512.0000,1524.6000,1501.0000,1506.4000,2026-06-15 17:01:14.296+00
4099,COCHINSHIP.NS,2026-01-16,1535.0000,1542.5000,1520.5000,1526.6000,2026-06-14 14:51:36.37+00
