id,ticker,candle_date,open,high,low,close,updated_at
8839,RVNL.NS,2026-03-18,268.0000,277.4500,268.0000,275.1000,2026-06-19 04:40:09.969+00
8838,RVNL.NS,2026-03-17,270.0000,271.8000,263.5500,267.8000,2026-06-19 04:40:09.969+00
8837,RVNL.NS,2026-03-16,271.2500,271.9000,260.7000,266.7000,2026-06-19 04:40:09.969+00
8836,RVNL.NS,2026-03-13,278.0000,280.3500,270.3500,271.2500,2026-06-19 04:40:09.969+00
8835,RVNL.NS,2026-03-12,275.7000,284.3500,270.9500,279.6000,2026-06-19 04:40:09.969+00
8834,RVNL.NS,2026-03-11,285.0000,288.9000,275.5000,277.2000,2026-06-19 04:40:09.969+00
8833,RVNL.NS,2026-03-10,281.9000,285.0000,278.0000,283.6000,2026-06-19 04:40:09.969+00
8832,RVNL.NS,2026-03-09,280.9000,281.7000,272.8000,276.2000,2026-06-19 04:40:09.969+00
8831,RVNL.NS,2026-03-06,279.2500,298.4000,278.7500,286.0000,2026-06-19 04:40:09.969+00
8830,RVNL.NS,2026-03-05,283.3000,287.4000,275.1000,279.2500,2026-06-19 04:40:09.969+00
8829,RVNL.NS,2026-03-04,293.9000,294.6500,271.2500,282.0500,2026-06-19 04:40:09.969+00
8828,RVNL.NS,2026-03-02,295.8000,307.9500,295.2000,299.4500,2026-06-19 04:40:09.969+00
8827,RVNL.NS,2026-02-27,318.3000,320.9000,314.0000,316.3500,2026-06-19 04:40:09.969+00
8826,RVNL.NS,2026-02-26,319.0000,321.0000,316.3000,318.3000,2026-06-19 04:40:09.969+00
8825,RVNL.NS,2026-02-25,324.0000,324.0000,315.0000,317.6000,2026-06-19 04:40:09.969+00
8824,RVNL.NS,2026-02-24,318.3000,322.5000,313.8500,321.6500,2026-06-19 04:40:09.969+00
8823,RVNL.NS,2026-02-23,313.0000,320.9000,310.0000,319.2000,2026-06-19 04:40:09.969+00
8822,RVNL.NS,2026-02-20,305.5000,313.9000,303.0000,312.1000,2026-06-19 04:40:09.969+00
8821,RVNL.NS,2026-02-19,310.9000,314.4500,305.0000,306.8500,2026-06-19 04:40:09.969+00
8820,RVNL.NS,2026-02-18,308.8000,311.5000,306.8000,309.6500,2026-06-19 04:40:09.969+00
8819,RVNL.NS,2026-02-17,308.9500,311.7000,307.2000,308.7500,2026-06-19 04:40:09.969+00
8818,RVNL.NS,2026-02-16,306.5000,311.9000,304.1000,309.6500,2026-06-19 04:40:09.969+00
8817,RVNL.NS,2026-02-13,309.9500,311.4500,306.0000,308.9500,2026-06-19 04:40:09.969+00
8816,RVNL.NS,2026-02-12,315.9000,315.9000,309.1000,313.7000,2026-06-19 04:40:09.969+00
8815,RVNL.NS,2026-02-11,316.5000,319.3000,313.2000,316.5500,2026-06-19 04:40:09.969+00
8814,RVNL.NS,2026-02-10,319.0000,324.8000,316.5500,319.4500,2026-06-19 04:40:09.969+00
8813,RVNL.NS,2026-02-09,315.0000,322.5000,314.5000,317.2500,2026-06-19 04:40:09.969+00
8812,RVNL.NS,2026-02-06,315.2500,316.2500,310.5000,314.1000,2026-06-19 04:40:09.969+00
8811,RVNL.NS,2026-02-05,321.0000,324.2000,316.0000,316.6000,2026-06-19 04:40:09.969+00
8810,RVNL.NS,2026-02-04,323.7000,323.9000,318.7500,321.0000,2026-06-19 04:40:09.969+00
8809,RVNL.NS,2026-02-03,334.4000,339.0000,323.0000,324.6500,2026-06-19 04:40:09.969+00
8808,RVNL.NS,2026-02-02,320.0000,325.5000,312.0500,322.8000,2026-06-19 04:40:09.969+00
8807,RVNL.NS,2026-01-30,337.9000,344.9000,331.8000,343.4000,2026-06-19 04:40:09.969+00
8806,RVNL.NS,2026-01-29,348.5500,352.8000,331.2000,341.4500,2026-06-19 04:40:09.969+00
8805,RVNL.NS,2026-01-28,328.4000,344.2000,326.5000,342.5000,2026-06-19 04:40:09.969+00
8804,RVNL.NS,2026-01-27,327.9000,328.3000,321.0500,323.9000,2026-06-19 04:40:09.969+00
8803,RVNL.NS,2026-01-23,331.0000,334.8000,323.4000,325.1500,2026-06-19 04:40:09.969+00
8802,RVNL.NS,2026-01-22,322.6000,330.5000,319.3500,329.0000,2026-06-18 18:04:07.509+00
8801,RVNL.NS,2026-01-21,318.0000,324.1500,313.8000,317.1000,2026-06-17 14:09:29.001+00
8800,RVNL.NS,2026-01-20,331.3000,331.5500,318.9500,320.3000,2026-06-16 13:50:56.075+00
8799,RVNL.NS,2026-01-19,332.9500,337.7000,329.8000,331.3000,2026-06-15 17:01:29.513+00
8798,RVNL.NS,2026-01-16,341.0000,344.9500,333.5000,335.1500,2026-06-14 14:51:44.1+00
